ts,kind,symbol,side,entry,tp,sl,strategy,score
2025-10-12T07:21:14.839173,ENTRY,BTC-USD,BUY,111680.0,111760.0,111650.0,spike,0.703
2025-10-12T07:21:25.643541,SL,BTC-USD,BUY,,111760.0,111650.0,spike,0.703
2025-10-12T07:22:18.158562,ENTRY,BTC-USD,BUY,111748.0,111828.0,111718.0,spike,0.77
2025-10-12T07:22:28.743599,SL,BTC-USD,BUY,,111828.0,111718.0,spike,0.77
2025-10-12T07:23:21.631545,ENTRY,BTC-USD,BUY,111800.0,111880.0,111770.0,donchian,0.8
2025-10-12T07:23:32.180509,SL,BTC-USD,BUY,,111880.0,111770.0,donchian,0.8
2025-10-12T07:24:14.287772,ENTRY,BTC-USD,BUY,111899.4,111979.4,111869.4,donchian,0.673
2025-10-12T07:24:24.929413,SL,BTC-USD,BUY,,111979.4,111869.4,donchian,0.673
2025-10-12T07:33:04.821779,ENTRY,BTC-USD,BUY,111560.9,111640.9,111530.5,inside_break,0.58
2025-10-12T07:33:15.362208,SL,BTC-USD,BUY,,111640.9,111530.5,inside_break,0.58
